Year;Group;Nest;Groupsize;Afem;Amal;SA;Juv;Lay date;Fledge date;Hatch date;Ringingdate;Chickmass;Tarsuslength;Ringingage;meanmaxTspecific;Rainfallspecific
2004-2005;Addger;Addger;5;1;3;0;1;2004/10/20;26/02/2005;2004/11/29;14/02/2005;3400;n/a;77;32,61538462;138,8
2004-2005;Caroline;Caroline;3;1;2;0;0;2004/11/28;02/04/2005;2005/01/06;24/03/2005;2750;143;77;32,03974359;57,6
2004-2005;Hermansburg;Von Tonder;2;1;1;0;0;2004/11/16;21/03/2005;2004/12/26;14/03/2005;3000;153;78;32,71265823;69,4
2004-2005;Johnniesdale;Johnniesdale;4;1;3;0;0;2004/10/20;25/02/2005;2004/11/29;14/02/2005;3050;167;77;32,61538462;138,8
2004-2005;Keer Keer;Keer Keer;4;1;2;1;0;2004/11/26;31/03/2005;2005/01/05;24/03/2005;2250;149;78;32,11923077;57,6
2004-2005;Pitlochry;Pitlochry;3;1;2;0;0;2004/11/08;12/03/2005;2004/12/18;05/03/2005;2750;155;77;32,71282051;142,6
2004-2005;Rhino Road;Rhino Road;5;1;2;1;1;2004/10/30;06/03/2005;2004/12/09;27/02/2005;3300;n/a;80;32,5;155,4
2004-2005;Senalala;Senalala;3;1;2;0;0;2004/10/15;18/02/2005;2004/11/24;13/02/2005;3250;179;81;32,52073171;138,8
2005-2006;Johnniesdale;Johnniesdale;4;2;2;0;0;2005/11/23;03/04/2006;2006/01/08;29/03/2006;3050;140;80;29,06296296;399,8
2005-2006;Karan Khaya;Karan Khaya;3;1;2;0;0;2005/12/07;11/04/2006;2006/01/16;29/03/2006;3450;165;72;29,17808219;368,8
2005-2006;Senalala;Senalala;3;1;2;0;0;2005/11/07;12/03/2006;2005/12/19;08/03/2006;3300;140;79;29,96875;378
2006-2007;Copenhagen;Copenhagen;3;1;2;0;0;2006/10/15;18/02/2007;2006/11/26;13/02/2007;3200;155;79;32,03846154;118,8
2006-2007;De Luca;De Luca;2;1;1;0;0;2006/10/02;11/02/2007;2006/11/11;26/01/2007;3200;128;76;31,22191781;134,2
2006-2007;Hermansburg;Von Tonder;2;1;1;0;0;2006/10/23;07/03/2007;2006/12/09;24/02/2007;2850;141;77;32,29230769;120
2006-2007;Janovsky;Janovsky;3;1;2;0;0;2006/10/15;19/02/2007;2006/11/28;14/02/2007;2630;138;78;32,12763158;118,8
2006-2007;Johnniesdale;Johnniesdale;4;1;2;0;1;2006/11/15;24/03/2007;2006/12/24;09/03/2007;2750;153;75;31,90821918;118,8
2006-2007;Karan Khaya;Karan Khaya;3;1;1;0;1;2006/11/01;10/03/2007;2006/12/08;23/02/2007;2650;154;77;32,31410256;119,8
2006-2007;Keer Keer;Keer Keer;4;1;2;1;0;2006/10/18;16/02/2007;2006/11/24;10/02/2007;3600;144;78;31,97368421;118,8
2006-2007;Ntsiri;Baobab;3;1;2;0;0;2006/10/20;22/02/2007;2006/12/04;20/02/2007;3050;139;78;32,25394737;118,8
2006-2007;Pitlochry;Pitlochry;4;1;2;0;1;2006/11/03;05/03/2007;2006/12/10;14/02/2007;2600;139;66;32,04328358;118,8
2006-2007;Rhino Road;Rhino Road;4;1;2;0;1;2006/09/25;10/02/2007;2006/11/04;18/01/2007;4050;156;75;31,09722222;117,6
2006-2007;Senalala;Senalala;4;1;2;0;1;2006/10/25;21/02/2007;2006/12/04;18/02/2007;2600;129;76;32,19054054;118,8
2007-2008;Addger;Addger;n/a;n/a;n/a;n/a;n/a;2007/11/12;n/a;2007/12/22;11/03/2008;3050;154;80;30,77777778;78,2
2007-2008;De Luca;De Luca;3;1;1;0;1;2007/11/03;n/a;2007/12/13;29/02/2008;n/a;147;78;30,02025316;131
2007-2008;Giraffe;Giraffe;5;1;3;0;1;2007/11/26;n/a;2008/01/05;20/03/2008;3100;152;75;30,71447368;84,6
2007-2008;Janovsky;Janovsky;4;1;2;0;1;2007/10/27;n/a;2007/12/06;09/02/2008;2950;146;65;29,15757576;150,2
2007-2008;Johnniesdale;Johnniesdale;4;1;2;0;1;2007/10/29;n/a;2007/12/08;22/02/2008;3200;150;76;29,48375;155,2
2007-2008;Karan Khaya;Karan Khaya;5;1;2;0;2;2007/10/27;n/a;2007/12/06;10/02/2008;2700;139;66;29,11940299;150,2
2007-2008;Pitlochry;Pitlochry;5;1;2;1;1;2007/10/31;n/a;2007/12/10;23/02/2008;2550;151;75;29,84736842;155
2007-2008;Rhino Road;Rhino Road;4;1;2;0;1;2007/10/20;n/a;2007/11/29;10/02/2008;3450;142;73;29,14864865;158,6
2007-2008;Senalala;Senalala;4;1;2;0;1;2007/10/27;n/a;2007/12/06;23/02/2008;3100;154;79;29,6225;157,8
2011-2012;Addger;Addger;4;1;2;0;1;2011/11/10;2012/03/09;2011/12/20;06/03/2012;3200;156;77;32,16923077;542
2011-2012;Keer Keer;Keer Keer;4;1;1;1;1;2011/11/24;2012/03/20;2012/01/02;06/03/2012;2500;138;64;32,44461538;442,2
2011-2012;Senalala;Rattray;6;1;3;1;1;2011/11/28;2012/03/28;2012/01/07;06/03/2012;3400;152;59;32,37333333;442,2
2011-2012;Strydom;Yankee Dam;2;1;1;0;0;2011/10/22;2012/02/18;2011/12/01;12/02/2012;2750;142;73;32,52837838;251,2
2012-2013;Copenhagen;Hull;7;1;2;3;1;2012/11/03;2013/03/01;2012/12/13;14/02/2013;3530;152;63;31,06;256,4
2012-2013;Janovsky;Janovsky;5;1;1;1;2;2012/10/31;2013/02/25;2012/12/09;14/02/2013;3100;145;67;31,76176471;348,6
2012-2013;Karan Khaya;Karan Khaya;5;1;3;0;1;2012/10/24;2013/02/19;2012/12/02;14/02/2013;3080;153;74;31,79466667;386
2012-2013;Lornay;Lornay;3;1;1;0;1;2012/11/08;2013/03/11;2012/12/23;14/02/2013;3150;139;53;31,17037037;254,4
2013-2014;Addger;Addger;4;1;1;1;1;2013/10/18;2014/02/14;2013/11/27;03/02/2014;3050;152;68;30,07391304;204,2
2013-2014;Caroline;Caroline;6;1;3;1;1;2013/10/22;2014/02/17;2013/11/30;03/02/2014;2920;145;65;30,23030303;200
2013-2014;Copenhagen;Hull;6;1;2;2;1;2013/10/30;2014/02/26;2013/12/09;17/02/2014;3000;158;70;30,73661972;212
